PID,Arrival Time,Burst Time,Priority
1,12,14,2
2,23,13,1
3,31,19,4
4,41,14,2
5,53,9,4
6,54,1,2
7,66,4,4
8,71,8,2
9,84,6,4
10,96,8,4
11,105,16,1
12,117,5,2
13,120,10,4
14,128,17,1
15,132,4,2
16,137,22,4
17,147,22,2
18,158,11,1
19,160,13,1
20,165,17,4
21,166,15,2
22,173,13,2
23,181,11,1
24,184,18,2
25,191,13,2
26,197,4,1
27,203,2,4
28,204,3,2
29,207,15,2
30,215,1,3
31,226,10,2
32,236,22,3
33,238,6,3
34,247,14,2
35,250,10,2
36,255,9,2
37,260,14,2
38,268,12,4
39,274,20,3
40,276,19,1
41,280,18,3
42,282,12,1
43,289,23,3
44,295,20,2
45,300,8,4
46,307,15,1
47,317,12,3
48,318,18,2
49,322,20,1
50,324,17,3
51,327,3,4
52,334,7,4
53,342,16,2
54,346,1,3
55,352,21,3
56,364,19,1
57,376,1,3
58,379,6,3
59,392,13,3
60,398,2,4
61,404,14,1
62,408,13,2
63,417,1,4
64,418,16,1
65,431,22,2
66,437,19,4
67,449,3,1
68,456,7,1
69,459,10,4
70,467,9,2
71,470,20,2
72,476,6,4
73,482,17,2
74,486,6,1
75,498,6,4
76,509,8,4
77,512,14,1
78,513,5,1
79,524,1,4
80,526,15,2
81,537,23,4
82,546,17,3
83,559,7,2
84,572,11,3
85,578,16,4
86,581,12,4
87,588,20,4
88,596,11,1
89,607,1,3
90,608,19,2
91,611,18,1
92,623,13,2
93,632,20,3
94,645,17,1
95,647,21,1
96,660,6,2
97,669,9,2
98,672,19,4
99,685,13,2
100,688,14,1
101,689,16,3
102,693,1,1
103,705,11,1
104,714,14,2
105,724,4,3
106,737,2,4
107,741,14,4
108,748,16,4
109,759,5,2
110,762,22,1
111,774,5,2
112,777,4,1
113,789,3,4
114,793,13,3
115,805,3,4
116,814,15,3
117,826,5,2
118,837,23,1
119,849,4,2
120,856,19,4
121,864,12,2
122,867,16,4
123,873,7,4
124,876,12,4
125,887,19,3
126,895,17,3
127,905,3,2
128,912,5,1
129,925,23,1
130,927,8,1
131,938,11,4
132,945,21,3
133,947,9,1
134,957,23,3
135,964,9,3
136,971,11,3
137,975,10,3
138,981,18,3
139,985,9,3
140,986,7,1
141,996,16,1
142,1009,5,1
143,1022,17,1
144,1027,17,2
145,1033,22,3
146,1038,21,2
147,1048,12,1
148,1061,2,2
149,1073,7,1
150,1081,14,4
151,1084,21,3
152,1094,6,2
153,1097,9,4
154,1106,5,2
155,1115,6,4
156,1116,12,4
157,1122,10,2
158,1129,20,3
159,1136,12,2
160,1137,11,4
161,1146,18,2
162,1159,12,2
163,1164,4,1
164,1171,11,1
165,1172,21,1
166,1175,17,4
167,1188,22,4
168,1197,2,4
169,1203,23,2
170,1216,18,1
171,1222,9,4
172,1233,17,4
173,1238,13,4
174,1250,6,4
175,1261,20,3
176,1265,23,2
177,1277,11,4
178,1286,20,1
179,1298,15,3
180,1311,3,2
181,1319,20,4
182,1331,2,4
183,1342,6,2
184,1345,5,2
185,1351,19,1
186,1356,9,1
187,1365,19,3
188,1377,10,1
189,1390,21,3
190,1395,21,2
191,1404,4,2
192,1405,13,2
193,1407,2,1
194,1417,21,1
195,1421,8,1
196,1429,22,1
197,1438,19,2
198,1445,23,3
199,1448,18,3
200,1461,7,4
201,1469,22,2
202,1474,6,1
203,1477,16,2
204,1484,1,2
205,1485,10,3
206,1486,20,3
207,1495,11,1
208,1505,16,1
209,1514,18,4
210,1527,20,4
211,1528,18,2
212,1534,18,4
213,1547,9,2
214,1553,11,2
215,1558,2,4
216,1570,12,4
217,1574,22,4
218,1587,23,4
219,1600,2,2
220,1612,14,3
221,1620,10,1
222,1627,14,2
223,1628,20,2
224,1638,16,3
225,1641,12,1
226,1650,8,2
227,1663,23,4
228,1674,17,1
229,1678,8,2
230,1686,16,3
231,1693,21,2
232,1705,5,4
233,1710,1,4
234,1723,5,1
235,1732,5,4
236,1738,19,3
237,1746,17,4
238,1756,18,4
239,1760,5,4
240,1764,9,4
241,1775,23,1
242,1782,14,4
243,1791,8,1
244,1800,13,2
245,1811,6,3
246,1818,8,2
247,1825,2,4
248,1828,15,4
249,1841,17,1
250,1851,23,2
251,1858,10,4
252,1871,18,3
253,1873,11,2
254,1884,1,1
255,1892,9,4
256,1894,20,3
257,1899,7,2
258,1910,14,1
259,1922,1,4
260,1935,9,1
261,1937,6,1
262,1947,12,2
263,1956,19,4
264,1964,14,2
265,1966,3,1
266,1978,9,2
267,1982,15,4
268,1986,2,3
269,1993,23,3
270,1998,20,4
271,2011,20,4
272,2016,2,3
273,2022,4,1
274,2033,1,3
275,2035,21,3
276,2040,13,4
277,2050,15,2
278,2059,21,4
279,2067,23,2
280,2068,11,2
281,2070,15,1
282,2082,22,3
283,2088,2,2
284,2094,8,3
285,2096,15,2
286,2109,9,1
287,2117,12,3
288,2122,15,2
289,2130,14,1
290,2138,12,3
291,2146,16,3
292,2158,5,3
293,2170,16,2
294,2171,21,4
295,2174,3,2
296,2186,4,2
297,2193,5,4
298,2203,13,3
299,2204,12,3
300,2209,11,2
301,2218,11,3
302,2228,14,4
303,2233,6,3
304,2245,14,4
305,2247,18,4
306,2260,23,2
307,2268,17,3
308,2281,5,4
309,2294,10,3
310,2295,17,4
311,2308,9,1
312,2313,13,3
313,2320,16,4
314,2322,15,4
315,2330,1,3
316,2337,16,1
317,2345,10,4
318,2350,3,1
319,2354,12,2
320,2360,8,1
321,2373,2,4
322,2381,8,2
323,2391,17,4
324,2398,6,2
325,2411,15,3
326,2424,4,2
327,2428,1,1
328,2436,3,4
329,2447,22,3
330,2453,12,2
331,2456,10,3
332,2467,4,4
333,2476,3,4
334,2484,10,2
335,2488,1,1
336,2489,17,1
337,2490,4,1
338,2501,7,4
339,2512,8,4
340,2517,5,3
341,2522,15,3
342,2530,20,1
343,2533,11,4
344,2536,4,4
345,2541,18,4
346,2547,4,1
347,2558,7,1
348,2559,22,2
349,2570,13,4
350,2578,17,4
351,2585,13,1
352,2586,12,2
353,2597,15,4
354,2602,5,4
355,2605,4,1
356,2617,6,4
357,2626,20,4
358,2634,16,3
359,2644,15,1
360,2654,15,2
361,2666,9,3
362,2671,4,3
363,2681,17,3
364,2689,23,1
365,2699,22,3
366,2706,8,3
367,2707,18,2
368,2716,1,1
369,2725,8,4
370,2727,21,1
371,2734,1,1
372,2739,8,3
373,2746,10,4
374,2748,9,2
375,2749,1,3
376,2754,8,2
377,2763,7,2
378,2767,12,4
379,2780,19,3
380,2786,1,2
381,2792,2,1
382,2800,1,1
383,2804,9,2
384,2807,17,1
385,2808,10,1
386,2818,17,2
387,2827,15,1
388,2829,19,3
389,2839,23,2
390,2851,8,4
391,2852,17,4
392,2862,23,2
393,2866,21,2
394,2867,22,2
395,2877,23,1
396,2889,19,3
397,2896,2,2
398,2905,18,2
399,2913,2,4
400,2922,12,4
401,2934,6,1
402,2936,13,4
403,2946,23,2
404,2954,15,4
405,2966,16,3
406,2967,20,1
407,2969,8,2
408,2974,1,2
409,2986,3,1
410,2989,1,3
411,2993,6,1
412,2995,17,3
413,2997,6,2
414,3003,19,1
415,3007,6,3
416,3017,22,2
417,3018,14,1
418,3030,21,4
419,3043,2,1
420,3052,20,4
421,3063,9,2
422,3076,9,3
423,3087,18,2
424,3095,7,1
425,3106,8,2
426,3118,22,4
427,3129,10,1
428,3137,10,4
429,3148,22,3
430,3155,15,1
431,3167,9,3
432,3171,21,4
433,3181,4,2
434,3191,18,3
435,3204,13,4
436,3213,18,3
437,3226,22,4
438,3235,22,1
439,3240,23,3
440,3243,10,2
441,3251,6,4
442,3258,18,2
443,3268,23,4
444,3275,15,4
445,3287,17,1
446,3289,7,2
447,3294,9,3
448,3297,17,2
449,3304,13,2
450,3306,18,2
451,3315,15,3
452,3327,1,1
453,3331,5,2
454,3336,5,4
455,3348,16,1
456,3354,20,4
457,3356,9,1
458,3367,6,1
459,3377,12,3
460,3383,23,3
461,3385,3,4
462,3397,18,3
463,3410,19,3
464,3422,13,4
465,3430,9,1
466,3442,12,3
467,3455,6,1
468,3460,11,4
469,3472,3,2
470,3473,3,1
471,3478,4,2
472,3483,5,3
473,3495,3,1
474,3496,2,2
475,3503,16,1
476,3511,12,2
477,3516,7,1
478,3526,6,4
479,3537,10,2
480,3542,4,4
481,3554,14,1
482,3557,3,4
483,3559,1,3
484,3570,2,4
485,3576,10,3
486,3586,15,4
487,3598,20,4
488,3608,7,2
489,3621,1,4
490,3623,21,4
491,3631,8,1
492,3642,9,1
493,3651,3,4
494,3658,11,1
495,3664,5,2
496,3676,20,3
497,3686,18,4
498,3699,23,3
499,3701,1,4
500,3707,2,3
501,3720,8,2
502,3731,18,1
503,3744,9,3
504,3746,19,1
505,3754,18,2
506,3759,1,2
507,3769,7,4
